Population,Bag,Oyster,Length,Date,Survived,Type
MV,2,28908,29.28,28-Jul-21,Alive,Wild
MV,2,28908,37.75,26-Aug-21,Alive,Wild
MV,2,28908,49.03,25-Oct-21,Alive,Wild
MV,2,28908,46.76,24-May-22,Alive,Wild
MV,2,28908,51.4,19-Oct-22,Alive,Wild
MV,2,28909,45.01,28-Jul-21,Alive,Wild
MV,2,28909,48.21,26-Aug-21,Alive,Wild
MV,2,28909,54.53,25-Oct-21,Alive,Wild
MV,2,28909,55.81,24-May-22,Alive,Wild
MV,2,28909,64.21,19-Oct-22,Alive,Wild
MV,2,28910,34.88,28-Jul-21,Alive,Wild
MV,2,28910,40.06,26-Aug-21,Alive,Wild
MV,2,28910,48.35,25-Oct-21,Alive,Wild
MV,2,28910,46.38,24-May-22,Alive,Wild
MV,2,28910,52.86,19-Oct-22,Alive,Wild
MV,2,28911,34.87,28-Jul-21,Alive,Wild
MV,2,28911,44.3,26-Aug-21,Alive,Wild
MV,2,28911,56.55,25-Oct-21,Alive,Wild
MV,2,28911,51.48,24-May-22,Alive,Wild
MV,2,28911,54.46,19-Oct-22,Alive,Wild
MV,2,28912,46.36,28-Jul-21,Alive,Wild
MV,2,28912,50.92,26-Aug-21,Alive,Wild
MV,2,28912,73.42,25-Oct-21,Alive,Wild
MV,2,28912,71.91,24-May-22,Alive,Wild
MV,2,28912,60.38,19-Oct-22,Dead,Wild
GH,2,28913,26.7,28-Jul-21,Alive,Wild
GH,2,28913,36.91,26-Aug-21,Alive,Wild
GH,2,28913,50.94,25-Oct-21,Alive,Wild
MV,2,28914,31.2,28-Jul-21,Alive,Wild
MV,2,28914,42.01,26-Aug-21,Alive,Wild
MV,2,28914,51.46,25-Oct-21,Alive,Wild
MV,2,28914,51.89,24-May-22,Alive,Wild
MV,2,28915,36.67,28-Jul-21,Alive,Wild
MV,2,28915,45.78,26-Aug-21,Alive,Wild
MV,2,28915,61.18,25-Oct-21,Alive,Wild
MV,2,28915,59.39,24-May-22,Alive,Wild
MV,2,28915,59.27,19-Oct-22,Alive,Wild
MV,2,28916,35.48,28-Jul-21,Alive,Wild
MV,2,28916,46.24,26-Aug-21,Alive,Wild
MV,2,28916,55.31,25-Oct-21,Alive,Wild
MV,2,28916,62.07,24-May-22,Alive,Wild
MV,2,28916,44.95,19-Oct-22,Dead,Wild
MV,2,28917,38.67,28-Jul-21,Alive,Wild
MV,2,28917,43.3,26-Aug-21,Alive,Wild
MV,2,28917,59.9,25-Oct-21,Alive,Wild
MV,2,28917,53.02,24-May-22,Alive,Wild
MV,2,28917,62.95,19-Oct-22,Dead,Wild
MV,2,28918,30.45,28-Jul-21,Alive,Wild
MV,2,28918,38.1,26-Aug-21,Alive,Wild
MV,2,28918,47.47,25-Oct-21,Alive,Wild
MV,2,28918,52.09,24-May-22,Alive,Wild
MV,2,28918,44.33,19-Oct-22,Dead,Wild
GH,2,28919,31.7,28-Jul-21,Alive,Wild
GH,2,28919,40.76,26-Aug-21,Alive,Wild
GH,2,28919,63.41,25-Oct-21,Alive,Wild
MV,2,28920,25.75,28-Jul-21,Alive,Wild
MV,2,28920,29.7,26-Aug-21,Alive,Wild
MV,2,28920,45.63,25-Oct-21,Alive,Wild
MV,2,28920,45.63,24-May-22,Alive,Wild
MV,2,28920,46.47,19-Oct-22,Dead,Wild
MV,2,28921,37.3,28-Jul-21,Alive,Wild
MV,2,28921,38.77,26-Aug-21,Alive,Wild
MV,2,28921,51.77,25-Oct-21,Alive,Wild
MV,2,28921,48.16,24-May-22,Alive,Wild
MV,2,28921,58.48,19-Oct-22,Alive,Wild
GH,2,28922,37,28-Jul-21,Alive,Wild
GH,2,28922,49.65,26-Aug-21,Alive,Wild
GH,2,28922,59.36,25-Oct-21,Alive,Wild
GH,2,28923,33,28-Jul-21,Alive,Wild
GH,2,28923,42.01,26-Aug-21,Alive,Wild
GH,2,28923,71.7,25-Oct-21,Alive,Wild
GH,2,28924,32.1,28-Jul-21,Alive,Wild
GH,2,28924,32.27,26-Aug-21,Alive,Wild
GH,2,28924,56.82,25-Oct-21,Alive,Wild
MV,2,28925,45.61,28-Jul-21,Alive,Wild
MV,2,28925,55.6,26-Aug-21,Alive,Wild
MV,2,28925,69.39,25-Oct-21,Alive,Wild
MV,2,28925,63.93,24-May-22,Alive,Wild
MV,2,28925,75.47,19-Oct-22,Alive,Wild
MV,2,28926,31.24,28-Jul-21,Alive,Wild
MV,2,28926,39.65,26-Aug-21,Alive,Wild
MV,2,28926,57.49,25-Oct-21,Alive,Wild
MV,2,28926,60.7,24-May-22,Alive,Wild
MV,2,28926,67.22,19-Oct-22,Dead,Wild
GH,2,28927,28.9,28-Jul-21,Alive,Wild
GH,2,28927,34.43,26-Aug-21,Alive,Wild
GH,2,28927,53.43,25-Oct-21,Alive,Wild
MV,2,28928,29.68,28-Jul-21,Alive,Wild
MV,2,28928,35.91,26-Aug-21,Alive,Wild
MV,2,28928,52.79,25-Oct-21,Alive,Wild
MV,2,28928,59.88,24-May-22,Alive,Wild
MV,2,28928,50.79,19-Oct-22,Dead,Wild
GH,2,28929,26.8,28-Jul-21,Alive,Wild
GH,2,28929,34.46,26-Aug-21,Alive,Wild
GH,2,28929,52.27,25-Oct-21,Alive,Wild
GH,2,28930,22.1,28-Jul-21,Alive,Wild
GH,2,28930,24.57,26-Aug-21,Alive,Wild
GH,2,28930,28.78,25-Oct-21,Alive,Wild
MV,2,28931,31.86,28-Jul-21,Alive,Wild
MV,2,28931,34.6,26-Aug-21,Alive,Wild
MV,2,28931,52.75,25-Oct-21,Alive,Wild
MV,2,28931,57.31,24-May-22,Alive,Wild
MV,2,28931,50.95,19-Oct-22,Dead,Wild
GH,2,28932,35,28-Jul-21,Alive,Wild
GH,2,28932,44.15,26-Aug-21,Alive,Wild
GH,2,28932,50.73,25-Oct-21,Alive,Wild
MV,2,28933,34.13,28-Jul-21,Alive,Wild
MV,2,28933,44.27,26-Aug-21,Alive,Wild
MV,2,28933,60.37,25-Oct-21,Alive,Wild
MV,2,28933,52.84,24-May-22,Alive,Wild
MV,2,28933,51.45,19-Oct-22,Dead,Wild
GH,2,28934,35.1,28-Jul-21,Alive,Wild
GH,2,28934,43.12,26-Aug-21,Alive,Wild
GH,2,28934,48.66,25-Oct-21,Alive,Wild
GH,2,28935,25.6,28-Jul-21,Alive,Wild
GH,2,28935,29.03,26-Aug-21,Alive,Wild
GH,2,28935,48.16,25-Oct-21,Alive,Wild
GH,2,28936,41,28-Jul-21,Alive,Wild
GH,2,28936,48.35,26-Aug-21,Alive,Wild
GH,2,28936,66.85,25-Oct-21,Alive,Wild
GH,2,28937,34.5,28-Jul-21,Alive,Wild
GH,2,28937,42.7,26-Aug-21,Alive,Wild
GH,2,28937,55.9,25-Oct-21,Alive,Wild
GH,2,28938,40.9,28-Jul-21,Alive,Wild
GH,2,28938,44.22,26-Aug-21,Alive,Wild
GH,2,28938,59.33,25-Oct-21,Alive,Wild
GH,2,28939,37,28-Jul-21,Alive,Wild
GH,2,28939,42.15,26-Aug-21,Alive,Wild
GH,2,28939,76.1,25-Oct-21,Alive,Wild
MV,2,28940,39.05,28-Jul-21,Alive,Wild
MV,2,28940,42.31,26-Aug-21,Alive,Wild
MV,2,28940,62.99,25-Oct-21,Alive,Wild
MV,2,28940,58.46,24-May-22,Alive,Wild
MV,2,28940,56.14,19-Oct-22,Dead,Wild
GH,2,28941,25.5,28-Jul-21,Alive,Wild
GH,2,28941,33.16,26-Aug-21,Alive,Wild
GH,2,28941,47.06,25-Oct-21,Alive,Wild
GH,2,28942,35.8,28-Jul-21,Alive,Wild
GH,2,28942,39.27,26-Aug-21,Alive,Wild
GH,2,28942,56.66,25-Oct-21,Alive,Wild
GH,2,28943,32.89,28-Jul-21,Alive,Wild
GH,2,28943,34.37,26-Aug-21,Alive,Wild
GH,2,28943,46.17,25-Oct-21,Alive,Wild
GH,2,28944,30,28-Jul-21,Alive,Wild
GH,2,28944,33.25,26-Aug-21,Alive,Wild
GH,2,28944,57.98,25-Oct-21,Alive,Wild
GH,2,28945,23.3,28-Jul-21,Alive,Wild
GH,2,28945,28.01,26-Aug-21,Alive,Wild
GH,2,28945,46.93,25-Oct-21,Alive,Wild
MV,2,28946,42.91,28-Jul-21,Alive,Wild
MV,2,28946,48.08,26-Aug-21,Alive,Wild
MV,2,28946,64.02,25-Oct-21,Alive,Wild
MV,2,28946,57.6,24-May-22,Alive,Wild
MV,2,28946,61.2,19-Oct-22,Dead,Wild
GH,2,28947,36,28-Jul-21,Alive,Wild
GH,2,28947,37.06,26-Aug-21,Alive,Wild
GH,2,28947,61.27,25-Oct-21,Alive,Wild
GH,2,28948,43.8,28-Jul-21,Alive,Wild
GH,2,28948,54.01,26-Aug-21,Alive,Wild
GH,2,28948,69.38,25-Oct-21,Alive,Wild
GH,2,28949,30.7,28-Jul-21,Alive,Wild
GH,2,28949,30.75,26-Aug-21,Alive,Wild
GH,2,28949,40,25-Oct-21,Alive,Wild
GH,2,28950,39.5,28-Jul-21,Alive,Wild
GH,2,28950,44,26-Aug-21,Alive,Wild
GH,2,28950,56.95,25-Oct-21,Alive,Wild
GH,2,28951,38,28-Jul-21,Alive,Wild
GH,2,28951,45.57,26-Aug-21,Alive,Wild
GH,2,28951,70.37,25-Oct-21,Alive,Wild
GH,2,28952,41.2,28-Jul-21,Alive,Wild
GH,2,28952,54.92,26-Aug-21,Alive,Wild
GH,2,28952,68.82,25-Oct-21,Alive,Wild
MV,2,28953,34.44,28-Jul-21,Alive,Wild
MV,2,28953,40.32,26-Aug-21,Alive,Wild
MV,2,28953,53.94,25-Oct-21,Alive,Wild
MV,2,28953,52.9,24-May-22,Alive,Wild
MV,2,28953,50.32,19-Oct-22,Dead,Wild
CL2,2,28954,36.79,28-Jul-21,Alive,Commercial
CL2,2,28954,40.37,26-Aug-21,Alive,Commercial
CL2,2,28954,65.57,25-Oct-21,Alive,Commercial
CL2,2,28954,57.12,24-May-22,Alive,Commercial
CL2,2,28954,84.66,19-Oct-22,Alive,Commercial
GH,2,28955,42.5,28-Jul-21,Alive,Wild
GH,2,28955,46.82,26-Aug-21,Alive,Wild
GH,2,28955,64.12,25-Oct-21,Alive,Wild
MV,2,28956,43.79,28-Jul-21,Alive,Wild
MV,2,28956,47.63,26-Aug-21,Alive,Wild
MV,2,28956,58.15,25-Oct-21,Alive,Wild
